,subtype,bedroomCount,netHabitableSurface,fireplaceExists,terraceSurface,hasTerrace,hasGarden,gardenSurface,hasSwimmingPool,price,type,postalCode,locality,kitchen,condition,facadeCount,isFurnished
0,HOUSE,5.0,230.0,False,,,,,,299000.0,HOUSE,6840,Neufchateau,,,4.0,
1,HOUSE,4.0,,False,,True,,,False,200000.0,HOUSE,8600,Diksmuide,SEMI_EQUIPPED,TO_BE_DONE_UP,,
2,HOUSE,4.0,,False,,,,,,135000.0,HOUSE,4102,Seraing,,,,
3,HOUSE,2.0,,False,,,,,,110000.0,HOUSE,5060,Tamines,,,3.0,
4,HOUSE,3.0,,False,,True,,,,110000.0,HOUSE,3500,Hasselt,,,2.0,
5,HOUSE,3.0,133.0,False,1.0,True,True,1.0,False,269000.0,HOUSE,8800,Roeselare,INSTALLED,AS_NEW,2.0,
6,HOUSE,2.0,139.0,False,,,True,1.0,,125000.0,HOUSE,7390,Quaregnon,INSTALLED,,2.0,
7,MANSION,5.0,212.0,True,24.0,True,True,290.0,False,240000.0,HOUSE,4820,Dison,INSTALLED,JUST_RENOVATED,2.0,
8,VILLA,7.0,350.0,False,40.0,True,True,800.0,,438000.0,HOUSE,6110,Montigny-le-Tilleul,INSTALLED,,4.0,
9,TOWN_HOUSE,4.0,236.0,True,,,True,,,550000.0,HOUSE,2020,Antwerpen 2,SEMI_EQUIPPED,TO_BE_DONE_UP,2.0,
10,HOUSE,4.0,,False,,,True,,,395000.0,HOUSE,2650,Edegem,,TO_RENOVATE,3.0,
11,HOUSE,3.0,120.0,False,,,,,,310000.0,HOUSE,3500,Hasselt,,,3.0,
12,HOUSE,5.0,264.0,False,21.0,True,,,False,498000.0,HOUSE,1703,Dilbeek,,GOOD,3.0,
13,HOUSE,4.0,223.0,False,,,,,False,485000.0,HOUSE,1980,Eppegem,HYPER_EQUIPPED,GOOD,2.0,
14,HOUSE,3.0,137.0,False,,,,,,110000.0,HOUSE,7340,PÃturages,INSTALLED,,2.0,
15,HOUSE,3.0,120.0,False,4.0,True,True,,,295000.0,HOUSE,1470,Genappe,INSTALLED,TO_RENOVATE,3.0,
16,HOUSE,3.0,178.0,False,,True,True,,False,419000.0,HOUSE,8470,Gistel,HYPER_EQUIPPED,AS_NEW,,
17,BUNGALOW,2.0,81.0,False,,True,,,,240000.0,HOUSE,4180,COMBLAIN-FAIRON,,TO_BE_DONE_UP,4.0,
18,HOUSE,4.0,160.0,False,,True,,,False,419000.0,HOUSE,9900,Eeklo,,GOOD,3.0,
19,HOUSE,2.0,,False,,,,,,50000.0,HOUSE,5190,Onoz,INSTALLED,,,
20,HOUSE,3.0,,False,,,,,,245000.0,HOUSE,9980,Sint-Laureins,,TO_BE_DONE_UP,4.0,
21,HOUSE,2.0,,False,,,,,,185000.0,HOUSE,3930,Hamont-Achel,,TO_RENOVATE,3.0,
22,HOUSE,4.0,,False,8.0,True,True,4.0,False,595000.0,HOUSE,1030,Schaerbeek,,GOOD,,
23,HOUSE,3.0,147.0,False,,True,True,,,359000.0,HOUSE,8550,Zwevegem,SEMI_EQUIPPED,GOOD,4.0,
24,HOUSE,4.0,125.0,False,,,,,,165000.0,HOUSE,9400,Ninove,SEMI_EQUIPPED,TO_RENOVATE,2.0,
25,VILLA,5.0,,False,,,,,,220000.0,HOUSE,8560,Wevelgem,,,4.0,
26,HOUSE,3.0,,False,,,,,,160000.0,HOUSE,7973,Stambruges,,,2.0,
27,VILLA,3.0,128.0,False,,True,,,,229000.0,HOUSE,7330,Saint-Ghislain,SEMI_EQUIPPED,GOOD,4.0,
28,HOUSE,2.0,65.0,False,,,,,False,155000.0,HOUSE,4000,Liège,SEMI_EQUIPPED,JUST_RENOVATED,2.0,
29,HOUSE,4.0,129.0,False,,,,,,127000.0,HOUSE,3500,Hasselt,,TO_RENOVATE,,
30,HOUSE,3.0,,False,,,,,,160000.0,HOUSE,7973,Stambruges,,,2.0,
31,VILLA,3.0,128.0,False,,True,,,,229000.0,HOUSE,7330,Saint-Ghislain,SEMI_EQUIPPED,GOOD,4.0,
32,HOUSE,2.0,65.0,False,,,,,False,155000.0,HOUSE,4000,Liège,SEMI_EQUIPPED,JUST_RENOVATED,2.0,
33,HOUSE,4.0,129.0,False,,,,,,127000.0,HOUSE,3500,Hasselt,,TO_RENOVATE,,
34,HOUSE,3.0,,False,,,,,,70000.0,HOUSE,3800,Sint-Truiden,,,2.0,
35,HOUSE,4.0,90.0,False,,,,,,220000.0,HOUSE,4728,Hergenrath,,GOOD,3.0,
36,HOUSE,3.0,,False,,,,,,80000.0,HOUSE,5060,Auvelais,INSTALLED,,,
37,HOUSE,3.0,107.0,False,,,,,,190000.0,HOUSE,3723,Kortessem,,,3.0,
38,HOUSE,7.0,252.0,False,15.0,True,True,780.0,False,375000.0,HOUSE,6997,EREZ©E,INSTALLED,AS_NEW,3.0,
39,MIXED_USE_BUILDING,4.0,310.0,False,,,,,,695000.0,HOUSE,2060,Antwerp,,JUST_RENOVATED,2.0,
40,VILLA,3.0,201.0,False,,True,True,,False,541000.0,HOUSE,8750,Wingene,HYPER_EQUIPPED,AS_NEW,,
41,HOUSE,1.0,238.0,False,,,,,,220000.0,HOUSE,3600,Genk,,,3.0,
42,HOUSE,1.0,177.0,False,,,,,,450000.0,HOUSE,1500,Halle,INSTALLED,,,
43,HOUSE,4.0,,False,,True,,,,500000.0,HOUSE,1130,Bruxelles,INSTALLED,,,
44,HOUSE,3.0,108.0,False,,True,,,False,209900.0,HOUSE,3500,Hasselt,,TO_RENOVATE,2.0,
45,HOUSE,3.0,163.0,False,,True,,,False,275000.0,HOUSE,6640,Vaux-sur-Sûre,,,3.0,
46,HOUSE,3.0,131.0,False,14.0,True,True,72.0,False,269000.0,HOUSE,4860,Wegnez,INSTALLED,GOOD,2.0,
47,HOUSE,3.0,,False,,,True,42.0,,179000.0,HOUSE,4100,Seraing,,,3.0,
48,HOUSE,2.0,126.0,False,,True,True,30.0,False,225000.0,HOUSE,9880,Aalter,SEMI_EQUIPPED,JUST_RENOVATED,3.0,
49,HOUSE,2.0,,False,,True,,,,149000.0,HOUSE,4130,Tilff,,,3.0,
50,HOUSE,2.0,,False,25.0,True,True,25.0,,200000.0,HOUSE,6600,Bastogne,INSTALLED,GOOD,,
51,HOUSE,4.0,173.0,False,,True,,,,345000.0,HOUSE,9200,Dendermonde,,AS_NEW,3.0,
52,HOUSE,5.0,260.0,False,20.0,True,True,100.0,False,449000.0,HOUSE,3300,Tienen,HYPER_EQUIPPED,,2.0,
53,HOUSE,2.0,150.0,False,,True,,,,399000.0,HOUSE,5000,Namur,USA_HYPER_EQUIPPED,AS_NEW,4.0,
54,VILLA,3.0,299.0,False,35.0,True,True,386.0,False,530000.0,HOUSE,7700,Mouscron,INSTALLED,AS_NEW,4.0,
55,HOUSE,4.0,470.0,False,48.0,True,True,2000.0,True,685000.0,HOUSE,7711,Dottignies,HYPER_EQUIPPED,GOOD,4.0,
56,HOUSE,5.0,600.0,False,,True,,,False,900000.0,HOUSE,7782,Comines-Warneton Ploegsteert,HYPER_EQUIPPED,,4.0,
57,VILLA,4.0,270.0,False,50.0,True,True,1500.0,True,1150000.0,HOUSE,7700,Mouscron,HYPER_EQUIPPED,AS_NEW,4.0,
58,VILLA,5.0,590.0,False,,True,,,False,745000.0,HOUSE,7700,Mouscron,INSTALLED,AS_NEW,4.0,
59,HOUSE,8.0,430.0,False,,True,,,False,1495000.0,HOUSE,7712,Mouscron Herseaux,HYPER_EQUIPPED,AS_NEW,4.0,
60,VILLA,3.0,,False,,,True,400.0,,599000.0,HOUSE,2930,Brasschaat,HYPER_EQUIPPED,AS_NEW,4.0,
61,VILLA,3.0,236.0,False,,True,,,,415000.0,HOUSE,9506,Smeerebbe-Vloerzegem,USA_HYPER_EQUIPPED,GOOD,4.0,
62,HOUSE,2.0,137.0,False,,True,,,,315000.0,HOUSE,9400,Ninove,USA_INSTALLED,GOOD,3.0,
63,MIXED_USE_BUILDING,4.0,,False,39.0,True,True,240.0,,899000.0,HOUSE,2540,Hove,HYPER_EQUIPPED,AS_NEW,3.0,
64,HOUSE,4.0,182.0,False,30.0,True,,,,331400.0,HOUSE,4620,Fléron,,,4.0,
65,HOUSE,4.0,211.0,False,,True,True,380.0,,479000.0,HOUSE,2360,Oud-Turnhout,INSTALLED,AS_NEW,3.0,
66,HOUSE,3.0,108.0,False,35.0,True,,,,184000.0,HOUSE,7860,Lessines,INSTALLED,JUST_RENOVATED,2.0,
67,HOUSE,2.0,120.0,False,,,,,,115000.0,HOUSE,7331,Baudour,,GOOD,2.0,
68,VILLA,4.0,282.0,False,66.0,True,True,2000.0,False,750000.0,HOUSE,9120,Beveren,INSTALLED,GOOD,4.0,
69,TOWN_HOUSE,3.0,160.0,False,19.0,True,True,100.0,False,560000.0,HOUSE,1170,Watermael-Boitsfort,NOT_INSTALLED,TO_RENOVATE,3.0,
70,HOUSE,3.0,,False,,True,True,,False,349000.0,HOUSE,3620,Veldwezelt,,AS_NEW,,
71,HOUSE,4.0,161.0,False,,,,,False,410000.0,HOUSE,2520,Broechem,INSTALLED,AS_NEW,,
72,HOUSE,6.0,304.0,False,,,True,,False,619000.0,HOUSE,2520,Ranst,,,,
73,HOUSE,3.0,166.0,False,,,True,,False,215000.0,HOUSE,2400,Mol,,TO_BE_DONE_UP,,
